id,date,title,revenue,theaters,distributor
9c68b9f3-915b-c772-a9d6-f2605de1d842,01/01/2022,Spider-Man: No Way Home,23112936,4206,Sony Pictures Entertainment (SPE)
c5eef32b-2a4c-b275-f0c4-0eea27afb9bd,01/01/2022,Sing 2,7781680,3892,Universal Pictures
82a7467d-2587-ab89-1f83-a02f06a63d16,01/01/2022,The King's Man,1950000,3180,20th Century Studios
2f511d3a-4ca6-58df-8dad-ff800328cc8e,01/01/2022,American Underdog,1640592,2813,Lionsgate
fd6a2e0c-8c9a-2c24-1284-1707bd88c3ab,01/01/2022,The Matrix Resurrections,1635057,3552,Warner Bros.
e83b30c1-952f-9dfd-335c-af7445521690,01/01/2022,West Side Story,850000,2690,20th Century Studios
9ff333f4-fc7f-8cbb-60d0-64bb54adbed4,01/01/2022,Ghostbusters: Afterlife,630888,1645,Sony Pictures Entertainment (SPE)
8d4726fc-efc1-3cf5-03e2-48cbc3c82fcf,01/01/2022,Licorice Pizza,541922,786,United Artists Releasing
42146ecb-d6bd-c915-63dd-4b6e0a129249,01/01/2022,A Journal for Jordan,532327,2500,Sony Pictures Entertainment (SPE)
aa3a1434-34b2-b0f0-3ad5-2e600f2f2999,01/01/2022,Encanto,425000,2425,Walt Disney Studios Motion Pictures
f69efca0-83d4-7409-d9b2-d3091455cf2c,01/01/2022,Nightmare Alley,425000,1910,Searchlight Pictures
b0ed1654-0692-b1ad-5bee-19fa4b7d2145,01/01/2022,House of Gucci,350899,707,United Artists Releasing
238ffd62-e34d-4f9e-1549-d32b0c98895b,01/01/2022,'83,290768,426,Reliance Entertainment
89bf0fe2-7819-57c2-38a6-e53fcaf1d36e,01/01/2022,Eternals,50000,175,Walt Disney Studios Motion Pictures
dae46eea-9085-0ed3-dc31-41974704fc2b,01/01/2022,Red Rocket,43542,385,A24
5168aebb-4100-39d5-ef8b-6445cc0e5baa,01/01/2022,Dune,26149,111,Warner Bros.
187b23d2-d981-ae9d-bda6-7264565dcb54,01/01/2022,Venom: Let There Be Carnage,19729,86,Sony Pictures Entertainment (SPE)
35b0957d-f5d6-fad8-6cd0-bda71aa4df77,01/01/2022,The French Dispatch,15000,55,Searchlight Pictures
05ae70a8-2eb9-6e93-ba7d-c35b00887033,01/01/2022,Belfast,12715,77,Focus Features
60918c06-0946-8609-a7bc-eb9c42e7c5ae,01/01/2022,Memoria,12065,1,Neon
03a64231-aba7-a365-cd4d-186a222ab87f,01/01/2022,Resident Evil: Welcome to Raccoon City,7919,42,Screen Gems
c4329ca0-7fb0-c6c6-23f6-2ff352fb3d9d,01/01/2022,King Richard,5681,50,Warner Bros.
6e436738-617e-9fb9-39e4-afc042ba3eea,01/01/2022,C'mon C'mon,4895,26,A24
167a196a-10bd-58d9-215c-aeee3e4ee321,01/01/2022,Flee,520,4,Neon
28766e29-0e8f-7dfe-8763-5e3bcf272d07,02/01/2022,Spider-Man: No Way Home,17502959,4206,Sony Pictures Entertainment (SPE)
e940961f-dea2-d93a-c460-6db3c03467ce,02/01/2022,Sing 2,5982470,3892,Universal Pictures
6d29a095-2705-8ad5-01c4-80391e7f9b09,02/01/2022,The King's Man,1370360,3180,20th Century Studios
23f1e0a9-8480-cd01-210f-826dc1b9fb91,02/01/2022,The Matrix Resurrections,1141335,3552,Warner Bros.
9baa6bf5-b0d5-eec0-ebf4-59fd4e9814cb,02/01/2022,American Underdog,923843,2813,Lionsgate
ec545fa0-3f75-3c02-aa78-94f497a8956f,02/01/2022,West Side Story,631971,2690,20th Century Studios
e653e261-137f-3d49-40eb-8a0b8733607d,02/01/2022,Ghostbusters: Afterlife,410184,1645,Sony Pictures Entertainment (SPE)
14109000-bac8-970b-f3ac-54b1d894e80a,02/01/2022,Licorice Pizza,396820,786,United Artists Releasing
8fb3c28f-dc70-c94a-ee3a-a4c7ad6f8f0d,02/01/2022,Encanto,343155,2425,Walt Disney Studios Motion Pictures
c764bdac-542c-8c03-8c36-1fc70d8daaf0,02/01/2022,A Journal for Jordan,340559,2500,Sony Pictures Entertainment (SPE)
7448de3b-9f31-dffd-05cf-c2e5386557c1,02/01/2022,Nightmare Alley,286966,1910,Searchlight Pictures
8aec7c79-18b7-c4a0-c22d-a84345870ced,02/01/2022,House of Gucci,255130,707,United Artists Releasing
ef6a108d-e9e8-0307-bf47-dccf663aec25,02/01/2022,'83,210196,426,Reliance Entertainment
63cb3ad2-4080-b7c7-bcc6-07433c208334,02/01/2022,Red Rocket,32657,385,A24
a732f001-9099-2b42-9831-bbb9dce2cc15,02/01/2022,Eternals,31653,175,Walt Disney Studios Motion Pictures
9b437968-0308-553d-30e7-5a331efd9fe8,02/01/2022,Dune,13572,111,Warner Bros.
91f80957-9297-f041-f46c-6b1838d3d233,02/01/2022,Belfast,10385,77,Focus Features
4868f921-e4e8-61e9-273d-ec5e4e66a649,02/01/2022,Venom: Let There Be Carnage,9672,86,Sony Pictures Entertainment (SPE)
46aadd6f-dba7-4f14-1002-11e5a4a5e7a0,02/01/2022,The French Dispatch,9202,55,Searchlight Pictures
ccdcae4c-cabd-b4f6-0cf6-5ef4290cfc55,02/01/2022,Resident Evil: Welcome to Raccoon City,5227,42,Screen Gems
a4a344ca-47d6-2bce-4138-de7afb3f76c1,02/01/2022,C'mon C'mon,3760,26,A24
ed9954eb-5a2f-9c10-28fb-2f17416ecb46,02/01/2022,King Richard,3368,50,Warner Bros.
07935b04-dcc6-f67a-3c8e-b869fa5b95b9,02/01/2022,Flee,842,4,Neon
52c0b46d-15ef-b64b-4696-3cf508b09d95,02/01/2022,The Battle at Lake Changjin,36,1,CMC Pictures
a585a0a7-dac1-e063-7462-998e5812754e,03/01/2022,Spider-Man: No Way Home,7908732,4206,Sony Pictures Entertainment (SPE)
a05fdf55-2afb-4bd1-9ee6-08ce22e9cfed,03/01/2022,Sing 2,2745410,3892,Universal Pictures
28c76039-dfea-2914-69df-250e92a3e63a,03/01/2022,The King's Man,653245,3180,20th Century Studios
eb61f2f2-b539-1452-a6ff-038b51762090,03/01/2022,The Matrix Resurrections,489067,3552,Warner Bros.
14133436-f724-d198-021c-d4a8b24f058c,03/01/2022,American Underdog,487368,2813,Lionsgate
c8a18fff-b5ed-2795-31c9-ac9b795724aa,03/01/2022,West Side Story,324832,2690,20th Century Studios
eaef2d60-514d-c6e8-780a-1d141eab4552,03/01/2022,Licorice Pizza,222096,786,United Artists Releasing
5182b7b5-2f34-c151-a26a-f530daa6d7c0,03/01/2022,Ghostbusters: Afterlife,185136,1645,Sony Pictures Entertainment (SPE)
ba62c28b-018c-98e8-b2f8-d42ac2955552,03/01/2022,Encanto,180351,2425,Walt Disney Studios Motion Pictures
685aba36-ba98-29ce-093f-7a4c91bd575d,03/01/2022,Nightmare Alley,155568,1910,Searchlight Pictures
db2d9009-cd1f-a5f3-a3f7-1500537362a5,03/01/2022,A Journal for Jordan,136384,2500,Sony Pictures Entertainment (SPE)
383adfc8-e9a7-11b9-1f99-eab667be678c,03/01/2022,House of Gucci,131361,707,United Artists Releasing
4995d566-4f48-06c9-6012-22a4ed22f5b9,03/01/2022,Eternals,16850,175,Walt Disney Studios Motion Pictures
0a65ded0-39f3-b355-772e-2056b183c25b,03/01/2022,Dune,11805,111,Warner Bros.
58f38756-b566-a2d3-df06-3f9f4eb5498d,03/01/2022,The French Dispatch,5554,55,Searchlight Pictures
e04d97d6-b8b2-c5d0-6fc5-811f52f84f01,03/01/2022,Belfast,4175,77,Focus Features
4bc0825b-de50-1f02-823c-7dff29910b40,03/01/2022,King Richard,2172,50,Warner Bros.
bc150b53-28e3-9c08-919d-5d2ad9c7402f,04/01/2022,Spider-Man: No Way Home,5918802,4206,Sony Pictures Entertainment (SPE)
2ebc2acd-ee4c-0d07-f5a6-c581280d8c34,04/01/2022,Sing 2,1928335,3892,Universal Pictures
9ca89519-92c5-c42a-90b3-dd6d68eae68d,04/01/2022,The King's Man,652378,3180,20th Century Studios
0d4d0ec2-500f-0396-40a9-6c27af511cbe,04/01/2022,American Underdog,474610,2813,Lionsgate
fb249b51-ceb0-e9fd-692e-54b55d8f31f1,04/01/2022,The Matrix Resurrections,452536,3552,Warner Bros.
1d25d8aa-3b7c-6ab8-296e-808403a67171,04/01/2022,West Side Story,309906,2690,20th Century Studios
611a00ef-bf7e-d847-e1da-a93f72b98ae6,04/01/2022,Licorice Pizza,211580,786,United Artists Releasing
be12f2e1-bd0a-e436-bb69-b0b18312a926,04/01/2022,Nightmare Alley,160778,1910,Searchlight Pictures
ca85cc4b-b562-fd38-f9aa-9391c96d3c98,04/01/2022,A Journal for Jordan,150270,2500,Sony Pictures Entertainment (SPE)
103d3e55-fb33-9fe7-6141-a35286fa45f9,04/01/2022,Ghostbusters: Afterlife,140495,1645,Sony Pictures Entertainment (SPE)
0bc0259b-54aa-f93d-8ae1-d1a3d469b8fe,04/01/2022,Encanto,135243,2425,Walt Disney Studios Motion Pictures
19e949c7-3698-8754-e6bc-615b8156796c,04/01/2022,House of Gucci,107694,707,United Artists Releasing
ec9372b8-8b24-25ec-434a-0bac4ad6798e,04/01/2022,Eternals,12476,175,Walt Disney Studios Motion Pictures
eba242b1-23f9-25d0-fe40-2790f2468344,04/01/2022,Dune,8913,111,Warner Bros.
79998d1a-c69c-8db4-1a3a-4168060257ed,04/01/2022,The French Dispatch,5889,55,Searchlight Pictures
cfe731f5-d2ce-2fcb-5889-ea6c55d84b50,04/01/2022,Belfast,4895,77,Focus Features
59ccedb0-1576-9a31-c88f-cf8925aa1bb2,04/01/2022,King Richard,1675,50,Warner Bros.
50024aa5-b921-abc4-08bd-99edc0d3f36d,05/01/2022,Spider-Man: No Way Home,4383219,4206,Sony Pictures Entertainment (SPE)
d0aa5d8f-6409-9720-496b-4ba4ae30132e,05/01/2022,Sing 2,1139690,3892,Universal Pictures
3d06f3bc-2651-5fff-dfc9-e0426725dbc0,05/01/2022,The King's Man,480549,3180,20th Century Studios
d9788f97-7860-109e-5c7d-0efa80f0b7f0,05/01/2022,The Matrix Resurrections,318278,3552,Warner Bros.
c5f16e6a-f895-618e-810d-cdfe8335563d,05/01/2022,American Underdog,302898,2813,Lionsgate
f1031030-3483-1a5b-49b0-e1941b06830a,05/01/2022,West Side Story,249645,2690,20th Century Studios
412097a6-ef00-5d2c-bc32-c91e3cde5aad,05/01/2022,Licorice Pizza,182148,786,United Artists Releasing
