TIME,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
European Union - 27 countries (from 2020),7.2,7.2,7.1,7.1,7.1,7,6.9,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.5,6.8,7,7.4,7.7,7.8,7.7,7.6,7.5,7.5,7.5,7.5,7.5,7.5,7.3,7.2,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6
Euro area - 19 countries  (from 2015),8,8,7.9,7.9,7.8,7.7,7.7,7.7,7.6,7.5,7.4,7.5,7.5,7.5,7.5,7.5,7.4,7.2,7.4,7.6,8.1,8.4,8.6,8.6,8.4,8.2,8.2,8.3,8.2,8.2,8.2,8.1,7.9,7.7,7.5,7.3,7.3,7.1,7,6.9,6.8,6.8,6.7,6.7,6.7,6.6,6.7,6.6,6.5
Belgium,5.8,5.9,5.9,5.8,5.7,5.6,5.6,5.6,5.5,5.3,5.2,5.2,5.3,5.4,5.4,5.2,5.1,5.1,5.2,5.3,5.7,6.2,6.6,6.5,6,5.9,6.1,6.6,6.8,6.7,6.4,6.2,6.2,6.3,6.3,6.2,6,5.8,5.6,5.3,5.2,5.4,5.7,5.9,5.8,5.5,5.4,5.4,5.4
Bulgaria,6,5.8,5.7,5.8,5.7,5.4,5.1,4.9,5,5,5.1,5.1,5.2,5.3,5.3,5.2,5.1,5.3,6.7,6.7,6.4,6.2,6.2,6.3,6.4,6.3,6.3,6.1,6,5.8,5.6,5.4,5.3,5.1,5,4.9,4.7,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.2,4.1,4,4
Czechia,2.1,2,2.2,2.1,1.7,2.1,2.1,2.1,1.8,2.1,2.1,2,2.2,2.2,1.9,2,1.8,1.8,2.2,2.5,2.6,3,2.7,2.8,3.2,3,3,3.3,3.2,3.3,3.3,3.1,2.8,2.6,2.8,2.6,2.5,2.2,2.2,2.3,2.5,2.3,2.5,2.4,2.4,2.4,2.4,2.2,2.1
Denmark,5,5.1,5.7,5.1,5.1,5.3,5.3,4.8,4.5,4.6,4.9,5.1,5,5.3,5.1,4.7,5.2,4.9,4.3,5.3,6.8,6.5,6.2,5.9,5.9,6,5.9,6.1,6,6.3,5,5.1,4.8,4.2,5.1,4.9,4.8,4.2,4.6,4.9,4.4,3.9,4.1,4.1,4.3,4.7,4.4,4.5,4.5
Germany,3.1,3.1,3.1,3.1,3,3,3,2.9,2.9,2.9,2.9,2.9,3,3.1,3.2,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.1,3.1,3,3,3,3,3,3,3,3
Estonia,5.2,4.6,4.4,4.4,4.6,4.5,4.8,5,4.7,4.3,4.1,4.3,4.1,4.2,4.7,5.2,5.2,5.3,6.1,7,7.9,7.7,7.7,7.6,7.8,7.7,7.2,7.3,6.9,6.7,6.6,6.8,6.5,6.2,5.8,5.7,5.2,5.3,5.4,5.8,5.5,5.5,5.5,5.9,6,5.9,5.6,5.2,5.2
Ireland,5.8,5.7,5.5,5,4.9,4.9,5.1,5.2,5.2,5.1,5,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.7,5,5.7,6.8,7.3,7.4,6.4,6.2,6.2,6.8,7.2,7.6,7.6,7,6.4,5.9,5.5,5.3,5.3,5.2,5,4.9,4.6,4.9,4.6,4.2,4.2,4.3,4.4,4.4,4.5
Greece,19,19.2,19.1,19.4,19.3,18.9,18.2,17.6,17.4,17.6,17.4,17.4,17.1,17,17,16.5,16.4,17,18.4,19.6,20.3,17.4,17,16.9,17.6,17.4,16.8,16.4,15.9,17.2,17.2,15.6,15,14.3,13.6,13.2,13.3,12.9,13,13.6,13.1,12.8,12.7,12.7,12.5,12.4,12.3,12,11.6
